Países,fob_con,kg_con,pct,value_density,hhi_commodity,meat_pct,reefer_usd,reefer_pct
Angola,416716786,206536103,23.242504666691648,2017.6462126817607,2613.73790755182,45.903360849975456,191315438,45.910182749393734
Gana,247916309,179194654,13.827607052242593,1383.5028192303103,3966.7313166793488,59.622405075416,148034543,59.71149844764751
"Congo, República Democrática",153005282,143368990,8.533915840178013,1067.2132237243216,4591.810379299427,66.01184722498665,102143154,66.75792669693587
Nigéria,141891893,712863617,7.914063210350762,199.04493596844628,1099.4849330279153,0.1636654463408984,476310,0.33568514023560175
Congo,135400755,90398767,7.552018026845389,1497.816391677112,4654.9883111207,66.3428560645766,94712593,69.94982635067286
Gabão,106973022,72892678,5.966452628200843,1467.5413900968215,6562.673927400268,80.32895714584936,95780356,89.53692642243948
Guiné,102745673,87891752,5.730670960264303,1169.0024451896238,7009.236227286859,83.40541893185127,87640605,85.29858478809128
Costa do Marfim,87100362,83336029,4.858049011386673,1045.1705348235396,3072.1413011671566,53.65635449368167,50425842,57.89395226623743
Libéria,81058257,88725413,4.52104877914947,913.5855698975445,3296.955687919657,55.42067848806569,47346070,58.40992855299122
Senegal,61630254,18791495,3.437446040881088,3279.688710238329,4028.841225210113,2.9167330707415227,2003996,3.251643259493949
Serra Leoa,44728826,44706326,2.494763786742775,1000.5032844792481,3256.014611004182,43.923185017196744,19646325,43.923185017196744
Benin,44083638,32098548,2.458778231073574,1373.3841792469866,6243.247553186718,77.56697167325437,34571954,78.42355025236347
Guiné Equatorial,39105113,29342033,2.181099494739346,1332.7335907501706,6077.408153700136,77.26017567063417,30447217,77.85993867349265
Gâmbia,36596622,26771936,2.0411876511740763,1366.9770464115857,3977.519225421042,60.715480789456464,22219815,60.715480789456464
Cabo Verde,31927820,18469215,1.7807838087599643,1728.7047662827033,4498.802835568844,66.30691353183525,21170668,66.30790326430053
Mauritânia,26033987,15168182,1.4520534921290396,1716.3551307599025,5581.2168951030635,73.64576543731086,19172929,73.64576543731086
Camarões,21117126,135439600,1.17781408402904,155.91544865755657,2478.6373057374453,9.49999067107901,3185484,15.08483682864799
Togo,10592857,10202664,0.5908198002278153,1038.2442271939956,1915.0362536710732,25.026628793346305,3242077,30.60625665011809
Guiné-Bissau,2975927,1975905,0.16598322771963803,1506.1083402289078,3763.4747552961458,57.27670739235203,1706993,57.360042769866325
São Tomé e Príncipe,1307751,1634563,0.07294020721394857,800.0615455017642,2080.924149708543,40.92988649980004,535956,40.98303117336557
